dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
wine_quality,wine_quality_slice_03_n1500,logreg,43,300,0.6833333333333333,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,logreg,44,300,0.6933333333333334,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,logreg,45,300,0.7166666666666667,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,logreg,46,300,0.6866666666666666,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,mlp,42,300,0.75,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,mlp,43,300,0.6866666666666666,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,mlp,44,300,0.7333333333333333,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,mlp,45,300,0.71,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,mlp,46,300,0.6966666666666667,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,xgboost,42,300,0.7433333333333333,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,xgboost,43,300,0.7366666666666667,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,xgboost,44,300,0.7466666666666667,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,xgboost,45,300,0.76,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_03_n1500,xgboost,46,300,0.7166666666666667,,,,,,,0.8367436098669079,0.3940246115207427,,,,ML
wine_quality,wine_quality_slice_04_n1800,logreg,42,360,0.725,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,logreg,43,360,0.7388888888888889,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,logreg,44,360,0.725,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,logreg,45,360,0.7583333333333333,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,logreg,46,360,0.6722222222222223,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,mlp,42,360,0.7527777777777778,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,mlp,43,360,0.7444444444444445,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,mlp,44,360,0.7694444444444445,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,mlp,45,360,0.7694444444444445,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,mlp,46,360,0.6916666666666667,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,xgboost,42,360,0.7666666666666667,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,xgboost,43,360,0.7555555555555555,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,xgboost,44,360,0.7583333333333333,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,xgboost,45,360,0.8138888888888889,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_04_n1800,xgboost,46,360,0.7055555555555556,,,,,,,0.8355535399353152,0.3940246115247305,,,,ML
wine_quality,wine_quality_slice_05_n2000,logreg,42,400,0.7175,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,logreg,43,400,0.7,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,logreg,44,400,0.695,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,logreg,45,400,0.745,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,logreg,46,400,0.71,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,42,400,0.75,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,43,400,0.72,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,44,400,0.7075,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,45,400,0.75,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,46,400,0.695,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,42,400,0.76,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,43,400,0.7425,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,44,400,0.72,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,45,400,0.7625,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,46,400,0.7325,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
